Benchmark,Scale/MOP,Method,N,Full success,Public feasible,Domain quality,Ref gap score,Solver timeout,Solver time
swta,MOP1_NT50_NS8_NC6_NV8_NW6_O4,WTA-MAFA v0.4,1,0,0,NA,NA,0,0
swta,MOP2_NT100_NS10_NC9_NV10_NW9_O2,WTA-MAFA v0.4,2,1,1,0.7792751919915,NA,0,0.673
swta,MOP2_NT100_NS10_NC9_NV10_NW9_O3,WTA-MAFA v0.4,2,1,1,0.7792751919915,NA,0,0.697
swta,MOP2_NT100_NS10_NC9_NV10_NW9_O4,WTA-MAFA v0.4,2,1,1,0.7792751919915,NA,0,0.694
swta,MOP2_NT100_NS6_NC6_NV6_NW6_O2,WTA-MAFA v0.4,2,1,1,0.735399238589,NA,0,0.264
swta,MOP2_NT100_NS6_NC6_NV6_NW6_O3,WTA-MAFA v0.4,2,1,1,0.735399238589,NA,0,0.218
swta,MOP2_NT100_NS6_NC6_NV6_NW6_O4,WTA-MAFA v0.4,2,1,1,0.735399238589,NA,0,0.22
swta,MOP2_NT200_NS12_NC6_NV12_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7360279491765,NA,0,2.284
swta,MOP2_NT200_NS12_NC6_NV12_NW6_O3,WTA-MAFA v0.4,2,1,1,0.7360279491765,NA,0,2.303
swta,MOP2_NT200_NS12_NC6_NV12_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7360279491765,NA,0,2.291
swta,MOP2_NT200_NS15_NC12_NV15_NW12_O2,WTA-MAFA v0.4,2,1,1,0.7541975688010001,NA,0,3.798
swta,MOP2_NT200_NS15_NC12_NV15_NW12_O3,WTA-MAFA v0.4,2,1,1,0.7541975688010001,NA,0,3.701
swta,MOP2_NT200_NS15_NC12_NV15_NW12_O4,WTA-MAFA v0.4,2,1,1,0.7541975688010001,NA,0,3.596
swta,MOP2_NT50_NS5_NC2_NV5_NW2_O2,WTA-MAFA v0.4,2,1,1,0.782017687556,NA,0,0.075
swta,MOP2_NT50_NS5_NC2_NV5_NW2_O3,WTA-MAFA v0.4,2,1,1,0.782017687556,NA,0,0.084
swta,MOP2_NT50_NS5_NC2_NV5_NW2_O4,WTA-MAFA v0.4,2,1,1,0.782017687556,NA,0,0.086
swta,MOP2_NT50_NS8_NC6_NV8_NW6_O2,WTA-MAFA v0.4,2,1,1,0.853374968525,NA,0,0.23
swta,MOP2_NT50_NS8_NC6_NV8_NW6_O3,WTA-MAFA v0.4,2,1,1,0.853374968525,NA,0,0.213
swta,MOP2_NT50_NS8_NC6_NV8_NW6_O4,WTA-MAFA v0.4,2,1,1,0.853374968525,NA,0,0.206
